"station_id","stationname","LINES","POINT_X","POINT_Y","TL","avg_rides","LUI","BS","BD","RD","LS","GBS","TS","ES","LUM"
1120,"35-Bronzeville-IIT","Green Line",1177050.91513553,1882047.58707363,1,6.78483406546963,81,33,0.305448774,15.23778351,0.382716049,0.160493827,0.098765432,0.345679012,0.814755563
1130,"Halsted-Orange","Orange Line",1170942.96556184,1887545.79610276,1,7.29903130764402,21,33,0.186423721,18.42525485,0.80952381,0,0.142857143,0.047619048,0.540704097
1140,"King Drive","Green Line",1180024.5514903,1863287.02462416,1,5.37433388042246,22,42,0.276660816,12.41097732,0.818181818,0.045454545,0.090909091,0.045454545,0.478382854
1150,"Kedzie-Midway","Orange Line",1155746.78506769,1871922.53234421,1,7.67778906072535,35,28,0.339829075,9.008027583,0.8,0.085714286,0.028571429,0.057142857,0.469610707
1160,"Clinton-Lake","Green (Lake), Pink",1172561.88677935,1901699.06101194,2,7.67461567591885,130,17,4.600291594,23.0570807,0.892307692,0.038461538,0.053846154,0,0.323541905
1170,"Garfield-Dan Ryan","Red Line",1175717.82047829,1868822.88715732,1,7.26841990062075,40,39,0.11107587,19.90735183,0.85,0.05,0.025,0.05,0.38656868
1180,"Kedzie-Brown","Brown Line",1154084.66231414,1930852.94827109,1,7.02330837919917,56,18,0.436224717,14.8409073,0.892857143,0.071428571,0,0,0.372012701
1190,"Jarvis","Red Line",1164754.77227608,1949075.67852806,1,6.73299097642412,89,26,0.535294431,12.03196148,0.741573034,0.101123596,0.101123596,0.033707865,0.549701651
1200,"Argyle","Red Line",1167746.82808687,1933638.97732968,1,7.71878483666917,110,19,0.905479839,12.30651495,0.872727273,0.072727273,0.018181818,0.009090909,0.325114918
1210,"Wellington","Brown, Purple (Express)",1169286.3350323,1920014.04624499,2,7.37069726873251,65,12,0.779461009,15.23131871,0.876923077,0.046153846,0.015384615,0.030769231,0.332775756
1220,"Fullerton","Red, Brown, Purple (Express)",1169427.09509643,1916013.32534527,3,8.83569996925611,179,23,0.617396822,14.78694297,0.715083799,0.072625698,0.055865922,0.150837989,0.562757273
1230,"47th-Dan Ryan","Red Line",1175712.49286229,1874259.92345038,1,7.14763640371088,17,29,0.079212967,19.18134184,0.647058824,0.058823529,0.176470588,0.117647059,0.725830382
1240,"Addison-O'Hare","Blue Line",1151344.51459959,1924006.59972071,1,7.27529723696664,40,23,0.331133574,17.77521973,0.9,0.025,0.025,0.05,0.309497797
1270,"43rd","Green Line",1178962.66758531,1876518.81702049,1,6.1694548420903,19,27,0.253791653,15.18028404,0.684210526,0.105263158,0,0.210526316,0.750637265
1280,"Jefferson Park","Blue Line",1139918.57154895,1932409.02840054,1,8.19713267992114,95,41,0.286649789,17.02951258,0.568421053,0.284210526,0.084210526,0.021052632,0.684505512
1290,"Kimball","Brown Line",1152910.87594505,1931513.3373917,1,7.74219264532289,48,26,0.447478077,14.21350426,0.604166667,0.083333333,0,0.291666667,0.686393565
1300,"Loyola","Red Line",1166979.64523815,1943698.46533905,1,7.8785148851993,121,19,0.754396473,12.18138846,0.504132231,0.107438017,0.123966942,0.256198347,0.765672849
1310,"Paulina","Brown Line",1164471.22974782,1922773.86704756,1,7.29459573237857,59,17,0.465923848,16.54651037,0.779661017,0.101694915,0.016949153,0.084745763,0.480844351
1320,"Belmont-North Main","Red, Brown, Purple (Express)",1169244.56018426,1921368.70147826,3,8.68531771351484,176,28,0.674483956,14.80298656,0.846590909,0.039772727,0.051136364,0.028409091,0.396182377
1330,"Montrose-O'Hare","Blue Line",1144639.34672135,1929107.50647746,1,7.10362838815265,24,22,0.242742906,19.45843717,0.875,0,0.041666667,0.083333333,0.415373501
1340,"LaSalle","Blue Line",1175328.49516593,1898027.79675252,1,7.37574462602092,27,4,2.344702602,19.92990664,0.518518519,0.333333333,0.148148148,0,0.900819738
1360,"California-Lake","Green Line (Lake)",1157735.61553354,1901043.52283533,1,6.44775944350853,24,26,0.179500605,13.18333859,0.708333333,0.125,0.041666667,0.125,0.646717848
1380,"Bryn Mawr","Red Line",1167633.60312676,1937300.91346109,1,7.62419380387045,41,25,1.187997488,12.63216984,0.804878049,0.048780488,0.048780488,0.048780488,0.474738197
1400,"Roosevelt","Red, Orange, Green",1176529.51123105,1895049.38830174,3,8.69760966672041,37,25,0.786190282,13.05933019,0.702702703,0.081081081,0.027027027,0.081081081,0.617247585
1410,"Chicago/Milwaukee","Blue Line",1168871.48498392,1905449.33352743,1,7.61936816895575,75,25,0.313580114,20.10473976,0.8,0.053333333,0.053333333,0.066666667,0.477409705
1420,"Addison-North Main","Red Line",1169155.59813618,1924165.78538486,1,8.43828239191249,189,36,0.960123666,13.40101585,0.82010582,0.063492063,0.074074074,0.010582011,0.42755983
1430,"87th","Red Line",1177647.63808009,1846956.57340895,1,7.39428821017908,45,31,0.169196809,13.09112533,0.866666667,0.066666667,0,0.066666667,0.441551671
1440,"Addison-Brown","Brown Line",1163413.93822683,1923975.42941668,1,6.9923090634001,42,26,0.432794782,15.75340875,0.880952381,0,0,0.119047619,0.526617066
1450,"Chicago/State","Red Line",1176230.95814277,1905725.84936769,1,8.7813067545309,396,44,7.366243552,17.40778363,0.747474747,0.053030303,0.141414141,0.042929293,0.527230589
1460,"Irving Park-Brown","Brown Line",1163333.20913876,1926705.98506723,1,7.26528162508105,80,24,0.51559376,15.18240694,0.725,0.175,0.0125,0.05,0.537987663
1480,"Western-Brown","Brown Line",1159616.1951193,1930951.29758318,1,7.5882243921882,118,32,0.435661492,15.19247025,0.838983051,0.050847458,0.059322034,0.025423729,0.405764985
1490,"Harrison","Red Line",1176488.61907101,1897480.33051201,1,7.61065280922776,114,22,2.954521787,14.22672531,0.631578947,0.043859649,0.210526316,0.087719298,0.66147368
1500,"Montrose-Brown","Brown Line",1163255.95192269,1929339.66570968,1,7.11556938339448,77,18,0.537453683,13.26638853,0.896103896,0.038961039,0,0.064935065,0.36618383
1510,"Morgan-Lake","Green (Lake), Pink",1169742.11896873,1901630.35829187,2,7.86534450359794,180,16,0.756886569,20.37340372,0.9,0.05,0.038888889,0.005555556,0.266294607
1660,"Lake/State","Red Line",1176365.32127889,1901404.02433966,1,9.06434575264224,32,2,4.792369828,23.60170604,0.75,0,0.1875,0,0.639824384
1670,"Conservatory","Green Line (Lake)",1152209.0952084,1901252.71835552,1,6.29551197364603,53,9,0.146126216,13.14989495,0.660377358,0.018867925,0.188679245,0.094339623,0.627536026
1690,"Cermak-McCormick Place","Green Line",1176844.65337534,1889858.01703291,1,6.95546175626836,70,35,1.589049445,16.53131858,0.714285714,0.085714286,0.128571429,0.057142857,0.583369251
1700,"Washington/Wabash","Brown, Orange, Pink,  Purple (Express), Green",1176812.47724731,1900828.68763513,5,8.69854695979258,164,15,4.445415348,16.41611564,0.695121951,0.06097561,0.213414634,0.012195122,0.546722864
